"ADM2_EN","Lat","Lon","iso"
"Aba North",5.11310706690185,7.3724506641925,"NGA"
"Aba South",5.08321848756735,7.35213116608269,"NGA"
"Abadam",13.4288581913249,13.3227777722005,"NGA"
"Abaji",8.82564065355117,6.8473326120518,"NGA"
"Abak",5.02205856743039,7.77154236403105,"NGA"
"Abakaliki",6.25985147541518,8.21965380803981,"NGA"
"Abeokuta North",7.22274017258751,3.17390495460221,"NGA"
"Abeokuta South",7.15296420529728,3.36126332924043,"NGA"
"Abi",5.88791603565976,8.02652716281088,"NGA"
"Aboh-Mbaise",5.43098807215012,7.25018598927586,"NGA"
"Abua/Odual",4.83662925739753,6.56194033893639,"NGA"
"Abuja Municipal",8.94043673128454,7.40564230668153,"NGA"
"Adavi",7.67681240937616,6.44577520192076,"NGA"
"Ado",6.79424553476312,8.00254853153675,"NGA"
"Ado-Odo/Ota",6.62186759522807,3.08735601741493,"NGA"
"Ado Ekiti",7.61184418009921,5.2684770549164,"NGA"
"Afijio",7.74481910178677,3.87051545208798,"NGA"
"Afikpo North",5.87987682178648,7.92364440467804,"NGA"
"Afikpo South",5.83691344228051,7.81435320528345,"NGA"
"Agaie",8.94298480273981,6.43754676639778,"NGA"
"Agatu",7.87732210664356,7.8915123107662,"NGA"
"Agege",6.6237433256644,3.31630667686334,"NGA"
"Aguata",5.98243727711106,7.08607361998368,"NGA"
"Agwara",10.7447189344102,4.52929844842549,"NGA"
"Ahiazu-Mbaise",5.56133445376095,7.26440611427538,"NGA"
"Ahoada East",5.05656569473948,6.63888749693271,"NGA"
"Ahoada West",5.06194294380704,6.52025500615409,"NGA"
"Aiyedade",7.31420877416744,4.32522689499832,"NGA"
"Aiyedire",7.57800917225774,4.25067549472704,"NGA"
"Aiyekire (Gbonyin)",7.59945354142022,5.50112939317494,"NGA"
"Ajaokuta",7.51330146882158,6.5946131822002,"NGA"
"Ajeromi-Ifelodun",6.45410465732401,3.33774888367338,"NGA"
"Ajingi",11.9731372264503,9.06908552509105,"NGA"
"Akamkpa",5.4098961074577,8.53303662237419,"NGA"
"Akinyele",7.58693033668063,3.89339389783927,"NGA"
"Akko",10.1151574884377,11.0344021274037,"NGA"
"Akoko-Edo",7.36290942311111,6.13603409568924,"NGA"
"Akoko North East",7.53935805149898,5.8375778391152,"NGA"
"Akoko North West",7.63443415486775,5.78378992053353,"NGA"
"Akoko South East",7.42898962061951,5.90990574143736,"NGA"
"Akoko South West",7.40475015036331,5.69560300142913,"NGA"
"Akpabuyo",4.89539390933707,8.49465374589619,"NGA"
"Akuku Toru",4.53576506055729,6.69942911681362,"NGA"
"Akure North",7.2618043677805,5.31551891692618,"NGA"
"Akure South",7.21667985502866,5.19343525035913,"NGA"
"Akwanga",9.03017352775959,8.34164119984694,"NGA"
"Albasu",11.6341022396575,9.11317177443311,"NGA"
"Aleiro",12.3158495921713,4.45120909859346,"NGA"
"Alimosho",6.57428655474301,3.2587735080929,"NGA"
"Alkaleri",9.88788009252687,10.4831481895487,"NGA"
"Amuwo-Odofin",6.43281936492428,3.29371813170604,"NGA"
"Anambra East",6.31408740692134,6.88592014493126,"NGA"
"Anambra West",6.49854007689754,6.80965678616439,"NGA"
"Anaocha",6.09052766707748,7.01898016679125,"NGA"
"Andoni",4.50434229299327,7.39768928700131,"NGA"
"Aninri",6.05078317374614,7.6038756045327,"NGA"
