"ADM2_FR","Lat","Lon","iso"
"Divo",5.91940963550334,-5.24932460477732,"CIV"
"Djekanou",6.4169921365839,-5.11197027794918,"CIV"
"Doropo",9.67792239770127,-3.26800003522877,"CIV"
"Duékoué",6.72937727184702,-7.26820743894838,"CIV"
"Facobly",7.5083874909638,-7.21327297323687,"CIV"
"Ferkessédougou",9.64250926291694,-5.07709257543992,"CIV"
"Fresco",5.31285703459665,-5.62673721772811,"CIV"
"Gagnoa",6.13605500687594,-6.04961304107696,"CIV"
"Gbeleban",9.65591215628372,-7.94199100400367,"CIV"
"Grand-Bassam",5.32682499063854,-3.56197568006699,"CIV"
"Grand-Lahou",5.37078202730029,-4.9902450839646,"CIV"
"Guéyo",5.55574784041033,-6.10315929634703,"CIV"
"Guiglo",6.48125226246683,-7.60653122906618,"CIV"
"Guitry",5.44961490621878,-5.26742203716222,"CIV"
"Issia",6.47715647153606,-6.56009458216676,"CIV"
"Jacqueville",5.23263834898875,-4.56132422959693,"CIV"
"Kani",8.71471943481652,-6.7853575730873,"CIV"
"Kaniasso",10.0638456459597,-7.12999611450585,"CIV"
"Katiola",8.2153610502288,-5.1401002161268,"CIV"
"Kong",9.14923791260811,-4.40234019342508,"CIV"
"Korhogo",9.33977796984133,-5.82893079635669,"CIV"
"Koro",8.70582339162042,-7.58418437819945,"CIV"
"Kouassi-Kouassikro",7.29569989265251,-4.64868019474107,"CIV"
"Kouibly",7.30216122965117,-7.24401786440973,"CIV"
"Koun Fao",7.54211601518192,-3.39659719161159,"CIV"
"Kounahiri",7.80308954468248,-5.93245696962781,"CIV"
"Kouto",9.92874794860714,-6.55194600990162,"CIV"
"Lakota",5.82612140344771,-5.7232300479399,"CIV"
"M'Bahiakro",7.58913553702646,-4.3227304965228,"CIV"
"M'Batto",6.43327189573236,-4.45677185783852,"CIV"
"M'Bengué",10.020333259185,-5.93361228319001,"CIV"
"Madinani",9.68197091583498,-7.00121935489248,"CIV"
"Man",7.33065568025123,-7.67586828770354,"CIV"
"Mankono",8.25960210876773,-5.92470310549527,"CIV"
"Méagui",5.48562325404737,-6.67526965342181,"CIV"
"Minignan",10.1391113891977,-7.69161696167341,"CIV"
"Nassian",8.47347605427388,-3.54822653354111,"CIV"
"Niakaramandougou",8.83927875979941,-5.25076039065007,"CIV"
"Odienne",9.22287433073596,-7.48239231720614,"CIV"
"Ouangolodougou",10.1092903139628,-5.44192385440711,"CIV"
"Ouaninou",8.26868085897391,-7.9545270360524,"CIV"
"Oumé",6.38383789269338,-5.51541552551654,"CIV"
"Prikro",7.6672906037006,-3.92813407823111,"CIV"
"Sakassou",7.42791377727099,-5.38314887691231,"CIV"
"Samatiguila",9.81374351068581,-7.65349827782763,"CIV"
"San Pédro",4.99853597176304,-6.83428897210235,"CIV"
"Sandegue",8.096633735415,-3.74226716892909,"CIV"
"Sassandra",5.24734832435518,-6.12008381761425,"CIV"
"Séguéla",8.12562142231779,-6.73617475982424,"CIV"
"Séguélon",9.25619933410286,-7.03572317294761,"CIV"
"Sikensi",5.64991217065486,-4.5416538793394,"CIV"
"Sinématiali",9.53481044143154,-5.39603856415073,"CIV"
"Sinfra",6.65004881031412,-5.75913597165639,"CIV"
"Sipilou",7.86735875749665,-7.94850810591708,"CIV"
"Soubré",5.865176244739,-6.62579163358625,"CIV"
"Taabo",6.18679756985532,-4.99903183312166,"CIV"
"Tabou",5.0324667174055,-7.33998374546489,"CIV"
"Taï",6.00030595045263,-7.38529872545648,"CIV"
"Tanda",7.83757016365808,-3.21176654120852,"CIV"
"Téhini",9.74101445150474,-3.82401383515426,"CIV"
"Tengrela",10.4484686397011,-6.42036562954573,"CIV"
"Tiapoum",5.22060947955998,-2.87909439970338,"CIV"
"Tiassalé",5.95257254302126,-4.7431490476426,"CIV"
"Tiébissou",7.13644242038894,-5.18832240096279,"CIV"
"Touba",8.18455423395491,-7.43910299097674,"CIV"
"Toulepleu",6.51254901885629,-8.37513822766272,"CIV"
"Toumodi",6.49229762099257,-4.99312001231884,"CIV"
"Transua",7.57793138665202,-3.02113859771059,"CIV"
"Vavoua",7.45393751669695,-6.69346134730349,"CIV"
"Yakassé-Attobrou",6.08333272072831,-3.56681564092907,"CIV"
"Yamoussoukro",6.8226435269103,-5.34514858708794,"CIV"
"Zouan-Hounien",6.87242123086482,-8.21691298118644,"CIV"
"Zoukougbeu",6.8503227760111,-6.86815437800055,"CIV"
"Zuénoula",7.45753310213522,-6.04833910923823,"CIV"
