"ADM2_FR","Lat","Lon","iso"
"Abengourou",6.69589288412708,-3.48625174803805,"CIV"
"Abidjan",5.41390944538335,-4.07510412039035,"CIV"
"Aboisso",5.61385763947383,-3.13730548102677,"CIV"
"Adiaké",5.21916805525952,-3.27323912078899,"CIV"
"Adzopé",6.07405793183498,-3.84388988973255,"CIV"
"Agboville",5.92144446381302,-4.27189406900641,"CIV"
"Agnibilékrou",7.11548566955316,-3.35889414091007,"CIV"
"Akoupé",6.40838583844459,-3.90770017829338,"CIV"
"Alépé",5.63407717936199,-3.6638069573655,"CIV"
"Arrah",6.76321805939863,-3.92604227821891,"CIV"
"Attiégouakro",6.90817296280086,-5.14796004033171,"CIV"
"Bangolo",7.03344815285257,-7.46095511048595,"CIV"
"Béoumi",7.77091574989234,-5.55646415754587,"CIV"
"Béttié",6.13753695595627,-3.3229406203672,"CIV"
"Biankouma",7.76152179577539,-7.48836971364294,"CIV"
"Bloléquin",6.59173616021365,-8.01181282670057,"CIV"
"Bocanda",7.01370619508798,-4.42596983980826,"CIV"
"Bondoukou",8.28879002794592,-2.93591036867054,"CIV"
"Bongouanou",6.70457966576798,-4.21170987706144,"CIV"
"Botro",7.86013211347023,-5.260844278873,"CIV"
"Bouaflé",6.99320289313834,-5.83414436170866,"CIV"
"Bouaké",7.73602939308038,-4.85890523365438,"CIV"
"Bouna",9.11789549471398,-3.37674885382261,"CIV"
"Boundiali",9.49287492951104,-6.43168096636719,"CIV"
"Buyo",6.17341585832929,-6.96634195602507,"CIV"
"Dabakala",8.3918689900938,-4.47306863417658,"CIV"
"Dabou",5.40069102890323,-4.53347293453074,"CIV"
"Daloa",6.9273605061349,-6.3843302356732,"CIV"
"Danané",7.3624519695571,-8.1331198389484,"CIV"
"Daoukro",7.24337475502795,-3.96998262124505,"CIV"
"Dianra",8.8367931117034,-6.33422180725993,"CIV"
"Didievi",7.30487391437785,-4.8577865005799,"CIV"
"Dikodougou",8.94591445808892,-5.82599093148212,"CIV"
"Dimbokro",6.76612632295049,-4.73988074368019,"CIV"
