"ADM1_EN","Lat","Lon","iso"
"Abia",5.4531722069876,7.52312264837226,"NGA"
"Adamawa",9.32176736401523,12.3985757471755,"NGA"
"Akwa Ibom",4.90658305501423,7.84740334934963,"NGA"
"Anambra",6.2226666062236,6.93218220374421,"NGA"
"Bauchi",10.7952690091735,9.98985076235292,"NGA"
"Bayelsa",4.76627983293323,6.08043493830546,"NGA"
"Benue",7.34117692045268,8.7519450770635,"NGA"
"Borno",11.8869926225465,13.151631617346,"NGA"
"Cross River",5.87349211909364,8.59860073874013,"NGA"
"Delta",5.70488456053002,5.93674912382178,"NGA"
"Ebonyi",6.2619479779919,8.01618012275917,"NGA"
"Edo",6.63337407443783,5.92991684212977,"NGA"
"Ekiti",7.72005151422431,5.30950650263179,"NGA"
"Enugu",6.53613129375849,7.44062765966856,"NGA"
"Federal Capital Territory",8.89754422235293,7.19543938876084,"NGA"
"Gombe",10.3830513393112,11.1923196232836,"NGA"
"Imo",5.57299407827248,7.06228857572489,"NGA"
"Jigawa",12.2379945822272,9.56381835966905,"NGA"
"Kaduna",10.3918858849145,7.7067375145908,"NGA"
"Kano",11.744763881594,8.52981148457621,"NGA"
"Katsina",12.3774089396169,7.62790674017269,"NGA"
"Kebbi",11.7429448345549,4.51765915726548,"NGA"
"Kogi",7.73653053249767,6.68743014054568,"NGA"
"Kwara",8.96619274157971,4.38639398335668,"NGA"
"Lagos",6.5225579786873,3.58694789851011,"NGA"
"Nasarawa",8.51057360014304,8.19795598071391,"NGA"
"Niger",9.93319571737568,5.59193462015173,"NGA"
"Ogun",6.99521651317087,3.47358684776696,"NGA"
"Ondo",6.91783083240858,5.15017701968637,"NGA"
"Osun",7.56280929863588,4.51767535596454,"NGA"
"Oyo",8.15852242619407,3.6128812523918,"NGA"
"Plateau",9.23228163392174,9.51248679498336,"NGA"
"Rivers",4.84532433562843,6.91827040042355,"NGA"
"Sokoto",13.0375517485713,5.31813411901063,"NGA"
"Taraba",8.02213807898914,10.7861407542356,"NGA"
"Yobe",12.2974982270849,11.4379926433624,"NGA"
"Zamfara",12.1010185673571,6.24631658528332,"NGA"
