"ADM2_EN","Lat","Lon","country"
"Abim",2.70296132341731,33.753104268612,"UGA"
"Adjumani",3.22347218186945,31.769623971461,"UGA"
"Agago",2.9101044785416,33.3460472343264,"UGA"
"Alebtong",2.26668256896101,33.2557165537794,"UGA"
"Amolatar",1.61987178785327,32.7358793798195,"UGA"
"Amudat",1.8027406989184,34.8763192040115,"UGA"
"Amuria",2.0079113560544,33.6380322459014,"UGA"
"Amuru",3.05141956211666,31.9745474456287,"UGA"
"Apac",1.87061032081552,32.4293917484081,"UGA"
"Arua",3.04093361941008,31.0526388979042,"UGA"
"Budaka",1.05966723855268,33.9885649098156,"UGA"
"Bududa",1.03198379048067,34.4078627752934,"UGA"
"Bugiri",0.531283468659588,33.7744531189462,"UGA"
"Bugweri",0.626748405955344,33.6055818868262,"UGA"
"Buhweju",-0.32890927265232,30.3501768386094,"UGA"
"Buikwe",0.305758454834455,33.0403984147865,"UGA"
"Bukedea",1.36227594229644,34.1243081473034,"UGA"
"Bukomansimbi",-0.129708048310211,31.6282562153666,"UGA"
"Bukwo",1.27851539347506,34.6863223429456,"UGA"
"Bulambuli",1.364455750312,34.3597145058692,"UGA"
"Buliisa",1.95988358361373,31.3916516237161,"UGA"
"Bundibugyo",0.695551235328361,30.0562255618708,"UGA"
"Bunyangabu",0.494828083441448,30.1725271201283,"UGA"
"Bushenyi",-0.483757634491727,30.1518473778625,"UGA"
"Busia",0.411840818663739,34.0053450987086,"UGA"
"Butaleja",0.883571363051397,33.9340556621602,"UGA"
"Butambala",0.153688115542105,32.0747102158023,"UGA"
"Butebo",1.18222913151208,33.9842907213241,"UGA"
"Buvuma",-0.391670490453966,33.2088802163309,"UGA"
"Buyende",1.2605019119286,33.1468767013741,"UGA"
"Dokolo",1.9373397236685,33.075894356187,"UGA"
"Gomba",0.195673447138876,31.7026534513143,"UGA"
"Gulu",2.97481710392409,32.3950986346505,"UGA"
"Hoima",1.5818395425181,31.2138931049569,"UGA"
"Ibanda",-0.0791684428125081,30.4895286543083,"UGA"
"Iganga",0.727229460678729,33.4789340109678,"UGA"
