"ADM2_FR","Lat","Lon","iso"
"Bamboutos",5.6739980834234,10.3127084177358,"GHA"
"Bénoué",9.21869687511993,13.4734975790093,"GHA"
"Boumba-et-Ngoko",2.8140756740066,15.2551139788875,"GHA"
"Boyo",6.36346312263646,10.3547720211271,"GHA"
"Bui",6.20333021739905,10.7222293081432,"GHA"
"Diamaré",10.7136126789988,14.4150958894475,"GHA"
"Dja-et-Lobo",2.77285570527311,12.6132236125638,"GHA"
"Djérem",6.47428765277099,12.7143374708532,"GHA"
"Donga-Mantung",6.62357561664475,10.7987656212677,"GHA"
"Fako",4.16691428527357,9.27066627712405,"GHA"
"Faro",8.25122438976895,12.8783905268497,"GHA"
"Faro-et-Déo",7.46653249617637,12.4748336014613,"GHA"
"Haut-Nkam",5.14531992855505,10.1717997837288,"GHA"
"Haut-Nyong",3.34081668957688,13.5789361602523,"GHA"
"Haute-Sanaga",4.68748595084862,12.5039665909416,"GHA"
"Hauts-Plateaux",5.29638763850413,10.3431173954786,"GHA"
"Kadey",4.27423081555534,14.3831616882708,"GHA"
"Koung-Khi",5.33840847063218,10.4732909682846,"GHA"
"Kupe-Manenguba",5.11148686880277,9.58518543270226,"GHA"
"Lebialem",5.56044922869773,9.9230654725304,"GHA"
"Lekié",4.16924715570035,11.3844341420777,"GHA"
"Logone-et-Chari",12.0350701823688,14.671533625653,"GHA"
"Lom-et-Djérem",5.32562894895939,13.7505291324003,"GHA"
"Manyu",5.82192244633648,9.37551450550296,"GHA"
"Mayo-Banyo",6.58189747049273,11.7350830265179,"GHA"
"Mayo-Danay",10.397951783976,15.0959064998896,"GHA"
"Mayo-Kani",10.257086154485,14.5347135383784,"GHA"
"Mayo-Louti",9.948907066131,13.8130030936215,"GHA"
"Mayo-Rey",8.11896883361478,14.4703465001545,"GHA"
"Mayo-Sava",11.1037861094002,14.2018541803779,"GHA"
"Mayo-Tsanaga",10.5778484651612,13.7877794553148,"GHA"
"Mbam-et-Inoubou",4.72612524943657,10.9665258923808,"GHA"
"Mbam-et-Kim",5.43424725314787,11.9827085152527,"GHA"
"Mbéré",6.48794120024877,14.2269906321038,"GHA"
"Mefou-et-Afamba",3.97829115250293,11.7931178014721,"GHA"
"Mefou-et-Akono",3.63089188516008,11.3611815254788,"GHA"
"Meme",4.62958830604835,9.31216823065916,"GHA"
"Menchum",6.60665352199622,10.0683084795558,"GHA"
"Menoua",5.40900893109909,10.0750599453326,"GHA"
"Mezam",5.97776036401018,10.1479062947471,"GHA"
"Mfoundi",3.85367298546551,11.5002971109246,"GHA"
"Mifi",5.51619335420638,10.4452698536948,"GHA"
"Momo",5.9830948120603,9.84468157966874,"GHA"
"Moungo",4.67199072103627,9.7678036237936,"GHA"
"Mvila",2.79772701132664,11.3947632992196,"GHA"
"Ndé",5.06213685264,10.5788094470042,"GHA"
"Ndian",4.87123798206412,8.94239890960423,"GHA"
"Ngo-Ketunjia",5.94829347565313,10.4722837547573,"GHA"
"Nkam",4.51758442299273,10.1498963758784,"GHA"
"Noun",5.64014938456032,10.9159532906067,"GHA"
"Nyong-et-Kellé",3.70833220806514,10.8143967296158,"GHA"
"Nyong-et-Mfoumou",3.87167662441633,12.3385347982069,"GHA"
"Nyong-et-So'o",3.41169362974161,11.554068312421,"GHA"
"Océan",2.90342262231386,10.312491612314,"GHA"
"Sanaga-Maritime",3.93387463147232,10.2868696122192,"GHA"
"Vallée-du-Ntem",2.42451155283575,10.9204407853016,"GHA"
"Vina",7.18867632993711,13.6626328726792,"GHA"
"Wouri",4.00924642194648,9.66335751129017,"GHA"
