"ADM2_EN","Lat","Lon","iso"
"Dormaa East",7.2691085722571,-2.6653494445853,"GHA"
"Dormaa Municipal",7.21765218013716,-2.86397701528189,"GHA"
"Dormaa West",6.98463239139308,-2.96314891417528,"GHA"
"East Gonja Municipal",8.37899707060696,-1.05879163675274,"GHA"
"East Mamprusi",10.4422988750339,-0.3761160023941,"GHA"
"Effia Kwesimintsim Municipal",4.96437836767151,-1.78774109339771,"GHA"
"Effutu Municipal",5.37715249350079,-0.604955782049525,"GHA"
"Ejisu Municipal",6.64695496500208,-1.40092543300167,"GHA"
"Ejura-Sekyedumase",7.38987993238798,-1.41092609488917,"GHA"
"Ekumfi",5.26173308088822,-0.908581948535713,"GHA"
"Ellembelle",5.12238130432402,-2.39232274055314,"GHA"
"Fanteakwa North",6.51224815249857,-0.355978351248798,"GHA"
"Fanteakwa South",6.34518351076424,-0.389076542355321,"GHA"
"Ga Central Municipal",5.61651591741908,-0.308324543107651,"GHA"
"Ga East",5.69948813692102,-0.221205387483265,"GHA"
"Ga North Municipal",5.73348954317388,-0.281339981515397,"GHA"
"Ga South Municipal",5.67480604159155,-0.436748610548664,"GHA"
"Ga West Municipal",5.71292361472167,-0.368002458388686,"GHA"
"Garu",10.7629806772096,-0.231729043183531,"GHA"
"Gomoa Central",5.35101736620767,-0.722509506377712,"GHA"
"Gomoa East",5.47456304985807,-0.600909676903585,"GHA"
"Gomoa West",5.3952697522065,-0.819703638124131,"GHA"
"Gushegu",9.92117153909161,-0.177112745289874,"GHA"
"Ho Municipal",6.67270113071019,0.514166931734854,"GHA"
"Ho West",6.55938748996317,0.36617021492679,"GHA"
"Hohoe Municipal",7.16180501096649,0.496983207843367,"GHA"
"Jaman North",7.90231895800093,-2.6659907565553,"GHA"
"Jaman South Municipal",7.61643768142529,-2.81267314426535,"GHA"
"Jasikan",7.38872450354797,0.502709050949376,"GHA"
"Jirapa",10.586882833325,-2.58439441110349,"GHA"
"Jomoro",5.16986005687495,-2.66670222941942,"GHA"
"Juaben Municipal",6.76166340600149,-1.38129063220229,"GHA"
"Juaboso",6.42218465120755,-2.92189007494781,"GHA"
"Kadjebi",7.72279631893217,0.520614677087522,"GHA"
"Karaga",9.9834093272691,-0.480578221508544,"GHA"
"Kasena Nankana East",10.7599244482956,-1.04357059042335,"GHA"
"Kasena Nankana West",10.8997146745117,-1.26541867235433,"GHA"
"Keta Municipal",5.94369666179374,0.906802633282686,"GHA"
"Ketu North",6.18203393298571,0.9621127104173,"GHA"
"Ketu South",6.10168964059545,1.08166563612138,"GHA"
"Kintampo North Municipal",8.39490816806368,-1.568523581483,"GHA"
"Kintampo South",7.9432704914456,-1.79187245209073,"GHA"
"Komenda-Edina-Eguafo-Abirem Municipal",5.13044783763314,-1.45143784444485,"GHA"
"Korle Klottey Municipal",5.56048692952074,-0.194543445164306,"GHA"
"Kpandai",8.40296990134765,-0.025101727821413,"GHA"
"Kpando Municipal",7.01115173734655,0.295838980136169,"GHA"
"Kpone Katamanso",5.75669025842792,-0.059232031394137,"GHA"
"Krachi East Municipal",7.78942427164776,0.226838414869763,"GHA"
"Krachi Nchumuru",8.17532949949422,-0.0851780405286771,"GHA"
"Krachi West",7.92046267117468,-0.0258458570216746,"GHA"
"Krowor Municipal",5.6129538702999,-0.0872919054841658,"GHA"
